Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Jul 2026,MOZ,34958973,Cabo Delgado,Mecufi,first projection,2026-10-01,2027-03-31,all,79587,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Mecufi,first projection,2026-10-01,2027-03-31,3+,19896,0.25
Jul 2026,MOZ,34958973,Cabo Delgado,Mecufi,first projection,2026-10-01,2027-03-31,1,23876,0.3
Jul 2026,MOZ,34958973,Cabo Delgado,Mecufi,first projection,2026-10-01,2027-03-31,2,35814,0.45
Jul 2026,MOZ,34958973,Cabo Delgado,Mecufi,first projection,2026-10-01,2027-03-31,3,15917,0.2
Jul 2026,MOZ,34958973,Cabo Delgado,Mecufi,first projection,2026-10-01,2027-03-31,4,3979,0.05
Jul 2026,MOZ,34958973,Cabo Delgado,Mecufi,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Meluco,current,2026-07-01,2026-09-30,all,47478,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Meluco,current,2026-07-01,2026-09-30,3+,9496,0.2
Jul 2026,MOZ,34958973,Cabo Delgado,Meluco,current,2026-07-01,2026-09-30,1,14243,0.3
Jul 2026,MOZ,34958973,Cabo Delgado,Meluco,current,2026-07-01,2026-09-30,2,23739,0.5
Jul 2026,MOZ,34958973,Cabo Delgado,Meluco,current,2026-07-01,2026-09-30,3,9496,0.2
Jul 2026,MOZ,34958973,Cabo Delgado,Meluco,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Meluco,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Meluco,first projection,2026-10-01,2027-03-31,all,47478,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Meluco,first projection,2026-10-01,2027-03-31,3+,14244,0.3
Jul 2026,MOZ,34958973,Cabo Delgado,Meluco,first projection,2026-10-01,2027-03-31,1,11870,0.25
Jul 2026,MOZ,34958973,Cabo Delgado,Meluco,first projection,2026-10-01,2027-03-31,2,21365,0.45
Jul 2026,MOZ,34958973,Cabo Delgado,Meluco,first projection,2026-10-01,2027-03-31,3,11870,0.25
Jul 2026,MOZ,34958973,Cabo Delgado,Meluco,first projection,2026-10-01,2027-03-31,4,2374,0.05
Jul 2026,MOZ,34958973,Cabo Delgado,Meluco,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Metuge,current,2026-07-01,2026-09-30,all,112373,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Metuge,current,2026-07-01,2026-09-30,3+,11237,0.1
Jul 2026,MOZ,34958973,Cabo Delgado,Metuge,current,2026-07-01,2026-09-30,1,44949,0.4
Jul 2026,MOZ,34958973,Cabo Delgado,Metuge,current,2026-07-01,2026-09-30,2,56187,0.5
Jul 2026,MOZ,34958973,Cabo Delgado,Metuge,current,2026-07-01,2026-09-30,3,11237,0.1
Jul 2026,MOZ,34958973,Cabo Delgado,Metuge,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Metuge,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Metuge,first projection,2026-10-01,2027-03-31,all,112373,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Metuge,first projection,2026-10-01,2027-03-31,3+,16856,0.15
Jul 2026,MOZ,34958973,Cabo Delgado,Metuge,first projection,2026-10-01,2027-03-31,1,44949,0.4
Jul 2026,MOZ,34958973,Cabo Delgado,Metuge,first projection,2026-10-01,2027-03-31,2,50568,0.45
Jul 2026,MOZ,34958973,Cabo Delgado,Metuge,first projection,2026-10-01,2027-03-31,3,16856,0.15
Jul 2026,MOZ,34958973,Cabo Delgado,Metuge,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Metuge,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Mocimboa Da Praia,current,2026-07-01,2026-09-30,all,170873,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Mocimboa Da Praia,current,2026-07-01,2026-09-30,3+,68349,0.4
Jul 2026,MOZ,34958973,Cabo Delgado,Mocimboa Da Praia,current,2026-07-01,2026-09-30,1,42718,0.25
Jul 2026,MOZ,34958973,Cabo Delgado,Mocimboa Da Praia,current,2026-07-01,2026-09-30,2,59806,0.35
Jul 2026,MOZ,34958973,Cabo Delgado,Mocimboa Da Praia,current,2026-07-01,2026-09-30,3,51262,0.3
Jul 2026,MOZ,34958973,Cabo Delgado,Mocimboa Da Praia,current,2026-07-01,2026-09-30,4,17087,0.1
Jul 2026,MOZ,34958973,Cabo Delgado,Mocimboa Da Praia,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Mocimboa Da Praia,first projection,2026-10-01,2027-03-31,all,170873,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Mocimboa Da Praia,first projection,2026-10-01,2027-03-31,3+,93980,0.55
Jul 2026,MOZ,34958973,Cabo Delgado,Mocimboa Da Praia,first projection,2026-10-01,2027-03-31,1,34175,0.2
Jul 2026,MOZ,34958973,Cabo Delgado,Mocimboa Da Praia,first projection,2026-10-01,2027-03-31,2,42718,0.25
Jul 2026,MOZ,34958973,Cabo Delgado,Mocimboa Da Praia,first projection,2026-10-01,2027-03-31,3,68349,0.4
Jul 2026,MOZ,34958973,Cabo Delgado,Mocimboa Da Praia,first projection,2026-10-01,2027-03-31,4,25631,0.15
Jul 2026,MOZ,34958973,Cabo Delgado,Mocimboa Da Praia,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Mueda,current,2026-07-01,2026-09-30,all,225268,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Mueda,current,2026-07-01,2026-09-30,3+,33790,0.15
Jul 2026,MOZ,34958973,Cabo Delgado,Mueda,current,2026-07-01,2026-09-30,1,90107,0.4
Jul 2026,MOZ,34958973,Cabo Delgado,Mueda,current,2026-07-01,2026-09-30,2,101371,0.45
Jul 2026,MOZ,34958973,Cabo Delgado,Mueda,current,2026-07-01,2026-09-30,3,33790,0.15
Jul 2026,MOZ,34958973,Cabo Delgado,Mueda,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Mueda,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Mueda,first projection,2026-10-01,2027-03-31,all,225268,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Mueda,first projection,2026-10-01,2027-03-31,3+,45054,0.2
Jul 2026,MOZ,34958973,Cabo Delgado,Mueda,first projection,2026-10-01,2027-03-31,1,67580,0.3
Jul 2026,MOZ,34958973,Cabo Delgado,Mueda,first projection,2026-10-01,2027-03-31,2,112634,0.5
Jul 2026,MOZ,34958973,Cabo Delgado,Mueda,first projection,2026-10-01,2027-03-31,3,45054,0.2
Jul 2026,MOZ,34958973,Cabo Delgado,Mueda,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Mueda,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Muidumbe,current,2026-07-01,2026-09-30,all,127879,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Muidumbe,current,2026-07-01,2026-09-30,3+,12788,0.1
Jul 2026,MOZ,34958973,Cabo Delgado,Muidumbe,current,2026-07-01,2026-09-30,1,70333,0.55
Jul 2026,MOZ,34958973,Cabo Delgado,Muidumbe,current,2026-07-01,2026-09-30,2,44758,0.35
Jul 2026,MOZ,34958973,Cabo Delgado,Muidumbe,current,2026-07-01,2026-09-30,3,12788,0.1
Jul 2026,MOZ,34958973,Cabo Delgado,Muidumbe,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Muidumbe,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Muidumbe,first projection,2026-10-01,2027-03-31,all,127879,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Muidumbe,first projection,2026-10-01,2027-03-31,3+,19182,0.15
Jul 2026,MOZ,34958973,Cabo Delgado,Muidumbe,first projection,2026-10-01,2027-03-31,1,57546,0.45
Jul 2026,MOZ,34958973,Cabo Delgado,Muidumbe,first projection,2026-10-01,2027-03-31,2,51152,0.4
Jul 2026,MOZ,34958973,Cabo Delgado,Muidumbe,first projection,2026-10-01,2027-03-31,3,19182,0.15
Jul 2026,MOZ,34958973,Cabo Delgado,Muidumbe,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Muidumbe,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Sofala,Nhamatanda,current,2026-07-01,2026-09-30,all,362887,1.0
Jul 2026,MOZ,34958973,Sofala,Nhamatanda,current,2026-07-01,2026-09-30,3+,54433,0.15
Jul 2026,MOZ,34958973,Sofala,Nhamatanda,current,2026-07-01,2026-09-30,1,163299,0.45
Jul 2026,MOZ,34958973,Sofala,Nhamatanda,current,2026-07-01,2026-09-30,2,145155,0.4
Jul 2026,MOZ,34958973,Sofala,Nhamatanda,current,2026-07-01,2026-09-30,3,54433,0.15
Jul 2026,MOZ,34958973,Sofala,Nhamatanda,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Sofala,Nhamatanda,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Sofala,Nhamatanda,first projection,2026-10-01,2027-03-31,all,362887,1.0
Jul 2026,MOZ,34958973,Sofala,Nhamatanda,first projection,2026-10-01,2027-03-31,3+,72577,0.2
Jul 2026,MOZ,34958973,Sofala,Nhamatanda,first projection,2026-10-01,2027-03-31,1,127010,0.35
Jul 2026,MOZ,34958973,Sofala,Nhamatanda,first projection,2026-10-01,2027-03-31,2,163299,0.45
Jul 2026,MOZ,34958973,Sofala,Nhamatanda,first projection,2026-10-01,2027-03-31,3,54433,0.15
Jul 2026,MOZ,34958973,Sofala,Nhamatanda,first projection,2026-10-01,2027-03-31,4,18144,0.05
Jul 2026,MOZ,34958973,Sofala,Nhamatanda,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Sofala,Buzi,current,2026-07-01,2026-09-30,all,229141,1.0
Jul 2026,MOZ,34958973,Sofala,Buzi,current,2026-07-01,2026-09-30,3+,57285,0.25
Jul 2026,MOZ,34958973,Sofala,Buzi,current,2026-07-01,2026-09-30,1,91656,0.4
Jul 2026,MOZ,34958973,Sofala,Buzi,current,2026-07-01,2026-09-30,2,80199,0.35
Jul 2026,MOZ,34958973,Sofala,Buzi,current,2026-07-01,2026-09-30,3,57285,0.25
Jul 2026,MOZ,34958973,Sofala,Buzi,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Sofala,Buzi,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Sofala,Buzi,first projection,2026-10-01,2027-03-31,all,229141,1.0
Jul 2026,MOZ,34958973,Sofala,Buzi,first projection,2026-10-01,2027-03-31,3+,80199,0.35
Jul 2026,MOZ,34958973,Sofala,Buzi,first projection,2026-10-01,2027-03-31,1,68742,0.3
Jul 2026,MOZ,34958973,Sofala,Buzi,first projection,2026-10-01,2027-03-31,2,80199,0.35
Jul 2026,MOZ,34958973,Sofala,Buzi,first projection,2026-10-01,2027-03-31,3,68742,0.3
Jul 2026,MOZ,34958973,Sofala,Buzi,first projection,2026-10-01,2027-03-31,4,11457,0.05
Jul 2026,MOZ,34958973,Sofala,Buzi,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Sofala,Chibabava,current,2026-07-01,2026-09-30,all,173242,1.0
Jul 2026,MOZ,34958973,Sofala,Chibabava,current,2026-07-01,2026-09-30,3+,25986,0.15
Jul 2026,MOZ,34958973,Sofala,Chibabava,current,2026-07-01,2026-09-30,1,69297,0.4
Jul 2026,MOZ,34958973,Sofala,Chibabava,current,2026-07-01,2026-09-30,2,77959,0.45
Jul 2026,MOZ,34958973,Sofala,Chibabava,current,2026-07-01,2026-09-30,3,25986,0.15
Jul 2026,MOZ,34958973,Sofala,Chibabava,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Sofala,Chibabava,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Sofala,Chibabava,first projection,2026-10-01,2027-03-31,all,173242,1.0
Jul 2026,MOZ,34958973,Sofala,Chibabava,first projection,2026-10-01,2027-03-31,3+,43310,0.25
Jul 2026,MOZ,34958973,Sofala,Chibabava,first projection,2026-10-01,2027-03-31,1,60635,0.35
Jul 2026,MOZ,34958973,Sofala,Chibabava,first projection,2026-10-01,2027-03-31,2,69297,0.4
Jul 2026,MOZ,34958973,Sofala,Chibabava,first projection,2026-10-01,2027-03-31,3,34648,0.2
Jul 2026,MOZ,34958973,Sofala,Chibabava,first projection,2026-10-01,2027-03-31,4,8662,0.05
Jul 2026,MOZ,34958973,Sofala,Chibabava,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Sofala,Machanga,current,2026-07-01,2026-09-30,all,71588,1.0
Jul 2026,MOZ,34958973,Sofala,Machanga,current,2026-07-01,2026-09-30,3+,17897,0.25
Jul 2026,MOZ,34958973,Sofala,Machanga,current,2026-07-01,2026-09-30,1,21476,0.3
Jul 2026,MOZ,34958973,Sofala,Machanga,current,2026-07-01,2026-09-30,2,32215,0.45
Jul 2026,MOZ,34958973,Sofala,Machanga,current,2026-07-01,2026-09-30,3,14318,0.2
Jul 2026,MOZ,34958973,Sofala,Machanga,current,2026-07-01,2026-09-30,4,3579,0.05
Jul 2026,MOZ,34958973,Sofala,Machanga,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Sofala,Machanga,first projection,2026-10-01,2027-03-31,all,71588,1.0
Jul 2026,MOZ,34958973,Sofala,Machanga,first projection,2026-10-01,2027-03-31,3+,28635,0.4
Jul 2026,MOZ,34958973,Sofala,Machanga,first projection,2026-10-01,2027-03-31,1,7159,0.1
Jul 2026,MOZ,34958973,Sofala,Machanga,first projection,2026-10-01,2027-03-31,2,35794,0.5
Jul 2026,MOZ,34958973,Sofala,Machanga,first projection,2026-10-01,2027-03-31,3,21476,0.3
Jul 2026,MOZ,34958973,Sofala,Machanga,first projection,2026-10-01,2027-03-31,4,7159,0.1
Jul 2026,MOZ,34958973,Sofala,Machanga,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Sofala,Maringue,current,2026-07-01,2026-09-30,all,122240,1.0
Jul 2026,MOZ,34958973,Sofala,Maringue,current,2026-07-01,2026-09-30,3+,18336,0.15
Jul 2026,MOZ,34958973,Sofala,Maringue,current,2026-07-01,2026-09-30,1,55008,0.45
Jul 2026,MOZ,34958973,Sofala,Maringue,current,2026-07-01,2026-09-30,2,48896,0.4
Jul 2026,MOZ,34958973,Sofala,Maringue,current,2026-07-01,2026-09-30,3,18336,0.15
Jul 2026,MOZ,34958973,Sofala,Maringue,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Sofala,Maringue,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Sofala,Maringue,first projection,2026-10-01,2027-03-31,all,122240,1.0
Jul 2026,MOZ,34958973,Sofala,Maringue,first projection,2026-10-01,2027-03-31,3+,36672,0.3
Jul 2026,MOZ,34958973,Sofala,Maringue,first projection,2026-10-01,2027-03-31,1,30560,0.25
Jul 2026,MOZ,34958973,Sofala,Maringue,first projection,2026-10-01,2027-03-31,2,55008,0.45
Jul 2026,MOZ,34958973,Sofala,Maringue,first projection,2026-10-01,2027-03-31,3,30560,0.25
Jul 2026,MOZ,34958973,Sofala,Maringue,first projection,2026-10-01,2027-03-31,4,6112,0.05
Jul 2026,MOZ,34958973,Sofala,Maringue,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Sofala,Muanza,current,2026-07-01,2026-09-30,all,48987,1.0
Jul 2026,MOZ,34958973,Sofala,Muanza,current,2026-07-01,2026-09-30,3+,14696,0.3
Jul 2026,MOZ,34958973,Sofala,Muanza,current,2026-07-01,2026-09-30,1,17145,0.35
Jul 2026,MOZ,34958973,Sofala,Muanza,current,2026-07-01,2026-09-30,2,17145,0.35
Jul 2026,MOZ,34958973,Sofala,Muanza,current,2026-07-01,2026-09-30,3,12247,0.25
Jul 2026,MOZ,34958973,Sofala,Muanza,current,2026-07-01,2026-09-30,4,2449,0.05
Jul 2026,MOZ,34958973,Sofala,Muanza,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Sofala,Muanza,first projection,2026-10-01,2027-03-31,all,48987,1.0
Jul 2026,MOZ,34958973,Sofala,Muanza,first projection,2026-10-01,2027-03-31,3+,19595,0.4
Jul 2026,MOZ,34958973,Sofala,Muanza,first projection,2026-10-01,2027-03-31,1,14696,0.3
Jul 2026,MOZ,34958973,Sofala,Muanza,first projection,2026-10-01,2027-03-31,2,14696,0.3
Jul 2026,MOZ,34958973,Sofala,Muanza,first projection,2026-10-01,2027-03-31,3,14696,0.3
Jul 2026,MOZ,34958973,Sofala,Muanza,first projection,2026-10-01,2027-03-31,4,4899,0.1
Jul 2026,MOZ,34958973,Sofala,Muanza,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Manica,Sussundenga,current,2026-07-01,2026-09-30,all,220976,1.0
Jul 2026,MOZ,34958973,Manica,Sussundenga,current,2026-07-01,2026-09-30,3+,22098,0.1
Jul 2026,MOZ,34958973,Manica,Sussundenga,current,2026-07-01,2026-09-30,1,121537,0.55
Jul 2026,MOZ,34958973,Manica,Sussundenga,current,2026-07-01,2026-09-30,2,77342,0.35
Jul 2026,MOZ,34958973,Manica,Sussundenga,current,2026-07-01,2026-09-30,3,22098,0.1
Jul 2026,MOZ,34958973,Manica,Sussundenga,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Manica,Sussundenga,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Manica,Sussundenga,first projection,2026-10-01,2027-03-31,all,220976,1.0
Jul 2026,MOZ,34958973,Manica,Sussundenga,first projection,2026-10-01,2027-03-31,3+,44195,0.2
Jul 2026,MOZ,34958973,Manica,Sussundenga,first projection,2026-10-01,2027-03-31,1,88390,0.4
Jul 2026,MOZ,34958973,Manica,Sussundenga,first projection,2026-10-01,2027-03-31,2,88390,0.4
Jul 2026,MOZ,34958973,Manica,Sussundenga,first projection,2026-10-01,2027-03-31,3,44195,0.2
Jul 2026,MOZ,34958973,Manica,Sussundenga,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Manica,Sussundenga,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Manica,Vanduzi,current,2026-07-01,2026-09-30,all,144232,1.0
Jul 2026,MOZ,34958973,Manica,Vanduzi,current,2026-07-01,2026-09-30,3+,14423,0.1
Jul 2026,MOZ,34958973,Manica,Vanduzi,current,2026-07-01,2026-09-30,1,64904,0.45
Jul 2026,MOZ,34958973,Manica,Vanduzi,current,2026-07-01,2026-09-30,2,64904,0.45
Jul 2026,MOZ,34958973,Manica,Vanduzi,current,2026-07-01,2026-09-30,3,14423,0.1
Jul 2026,MOZ,34958973,Manica,Vanduzi,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Manica,Vanduzi,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Manica,Vanduzi,first projection,2026-10-01,2027-03-31,all,144232,1.0
Jul 2026,MOZ,34958973,Manica,Vanduzi,first projection,2026-10-01,2027-03-31,3+,21635,0.15
Jul 2026,MOZ,34958973,Manica,Vanduzi,first projection,2026-10-01,2027-03-31,1,57693,0.4
Jul 2026,MOZ,34958973,Manica,Vanduzi,first projection,2026-10-01,2027-03-31,2,64904,0.45
Jul 2026,MOZ,34958973,Manica,Vanduzi,first projection,2026-10-01,2027-03-31,3,21635,0.15
Jul 2026,MOZ,34958973,Manica,Vanduzi,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Manica,Vanduzi,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Manica,Guro,current,2026-07-01,2026-09-30,all,121234,1.0
Jul 2026,MOZ,34958973,Manica,Guro,current,2026-07-01,2026-09-30,3+,24247,0.2
Jul 2026,MOZ,34958973,Manica,Guro,current,2026-07-01,2026-09-30,1,42432,0.35
Jul 2026,MOZ,34958973,Manica,Guro,current,2026-07-01,2026-09-30,2,54555,0.45
Jul 2026,MOZ,34958973,Manica,Guro,current,2026-07-01,2026-09-30,3,18185,0.15
Jul 2026,MOZ,34958973,Manica,Guro,current,2026-07-01,2026-09-30,4,6062,0.05
Jul 2026,MOZ,34958973,Manica,Guro,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Manica,Guro,first projection,2026-10-01,2027-03-31,all,121234,1.0
Jul 2026,MOZ,34958973,Manica,Guro,first projection,2026-10-01,2027-03-31,3+,36371,0.3
Jul 2026,MOZ,34958973,Manica,Guro,first projection,2026-10-01,2027-03-31,1,30309,0.25
Jul 2026,MOZ,34958973,Manica,Guro,first projection,2026-10-01,2027-03-31,2,54555,0.45
Jul 2026,MOZ,34958973,Manica,Guro,first projection,2026-10-01,2027-03-31,3,30309,0.25
Jul 2026,MOZ,34958973,Manica,Guro,first projection,2026-10-01,2027-03-31,4,6062,0.05
Jul 2026,MOZ,34958973,Manica,Guro,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Manica,Manica,current,2026-07-01,2026-09-30,all,300949,1.0
Jul 2026,MOZ,34958973,Manica,Manica,current,2026-07-01,2026-09-30,3+,15047,0.05
Jul 2026,MOZ,34958973,Manica,Manica,current,2026-07-01,2026-09-30,1,180569,0.6
Jul 2026,MOZ,34958973,Manica,Manica,current,2026-07-01,2026-09-30,2,105332,0.35
Jul 2026,MOZ,34958973,Manica,Manica,current,2026-07-01,2026-09-30,3,15047,0.05
Jul 2026,MOZ,34958973,Manica,Manica,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Manica,Manica,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Manica,Manica,first projection,2026-10-01,2027-03-31,all,300949,1.0
Jul 2026,MOZ,34958973,Manica,Manica,first projection,2026-10-01,2027-03-31,3+,30095,0.1
Jul 2026,MOZ,34958973,Manica,Manica,first projection,2026-10-01,2027-03-31,1,165522,0.55
Jul 2026,MOZ,34958973,Manica,Manica,first projection,2026-10-01,2027-03-31,2,105332,0.35
Jul 2026,MOZ,34958973,Manica,Manica,first projection,2026-10-01,2027-03-31,3,30095,0.1
Jul 2026,MOZ,34958973,Manica,Manica,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Manica,Manica,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Manica,Mossurize,current,2026-07-01,2026-09-30,all,254072,1.0
Jul 2026,MOZ,34958973,Manica,Mossurize,current,2026-07-01,2026-09-30,3+,25407,0.1
Jul 2026,MOZ,34958973,Manica,Mossurize,current,2026-07-01,2026-09-30,1,139740,0.55
Jul 2026,MOZ,34958973,Manica,Mossurize,current,2026-07-01,2026-09-30,2,88925,0.35
Jul 2026,MOZ,34958973,Manica,Mossurize,current,2026-07-01,2026-09-30,3,25407,0.1
Jul 2026,MOZ,34958973,Manica,Mossurize,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Manica,Mossurize,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Manica,Mossurize,first projection,2026-10-01,2027-03-31,all,254072,1.0
Jul 2026,MOZ,34958973,Manica,Mossurize,first projection,2026-10-01,2027-03-31,3+,38111,0.15
Jul 2026,MOZ,34958973,Manica,Mossurize,first projection,2026-10-01,2027-03-31,1,114332,0.45
Jul 2026,MOZ,34958973,Manica,Mossurize,first projection,2026-10-01,2027-03-31,2,101629,0.4
Jul 2026,MOZ,34958973,Manica,Mossurize,first projection,2026-10-01,2027-03-31,3,38111,0.15
Jul 2026,MOZ,34958973,Manica,Mossurize,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Manica,Mossurize,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Nampula,Erati,current,2026-07-01,2026-09-30,all,490923,1.0
Jul 2026,MOZ,34958973,Nampula,Erati,current,2026-07-01,2026-09-30,3+,49092,0.1
Jul 2026,MOZ,34958973,Nampula,Erati,current,2026-07-01,2026-09-30,1,220915,0.45
Jul 2026,MOZ,34958973,Nampula,Erati,current,2026-07-01,2026-09-30,2,220915,0.45
Jul 2026,MOZ,34958973,Nampula,Erati,current,2026-07-01,2026-09-30,3,49092,0.1
Jul 2026,MOZ,34958973,Nampula,Erati,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Nampula,Erati,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Nampula,Erati,first projection,2026-10-01,2027-03-31,all,490923,1.0
Jul 2026,MOZ,34958973,Nampula,Erati,first projection,2026-10-01,2027-03-31,3+,98184,0.2
Jul 2026,MOZ,34958973,Nampula,Erati,first projection,2026-10-01,2027-03-31,1,171823,0.35
Jul 2026,MOZ,34958973,Nampula,Erati,first projection,2026-10-01,2027-03-31,2,220915,0.45
Jul 2026,MOZ,34958973,Nampula,Erati,first projection,2026-10-01,2027-03-31,3,73638,0.15
Jul 2026,MOZ,34958973,Nampula,Erati,first projection,2026-10-01,2027-03-31,4,24546,0.05
Jul 2026,MOZ,34958973,Nampula,Erati,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Nampula,Memba,current,2026-07-01,2026-09-30,all,409914,1.0
Jul 2026,MOZ,34958973,Nampula,Memba,current,2026-07-01,2026-09-30,3+,40991,0.1
Jul 2026,MOZ,34958973,Nampula,Memba,current,2026-07-01,2026-09-30,1,184461,0.45
Jul 2026,MOZ,34958973,Nampula,Memba,current,2026-07-01,2026-09-30,2,184461,0.45
Jul 2026,MOZ,34958973,Nampula,Memba,current,2026-07-01,2026-09-30,3,40991,0.1
Jul 2026,MOZ,34958973,Nampula,Memba,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Nampula,Memba,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Nampula,Memba,first projection,2026-10-01,2027-03-31,all,409914,1.0
Jul 2026,MOZ,34958973,Nampula,Memba,first projection,2026-10-01,2027-03-31,3+,122975,0.3
Jul 2026,MOZ,34958973,Nampula,Memba,first projection,2026-10-01,2027-03-31,1,163966,0.4
Jul 2026,MOZ,34958973,Nampula,Memba,first projection,2026-10-01,2027-03-31,2,122974,0.3
Jul 2026,MOZ,34958973,Nampula,Memba,first projection,2026-10-01,2027-03-31,3,102479,0.25
Jul 2026,MOZ,34958973,Nampula,Memba,first projection,2026-10-01,2027-03-31,4,20496,0.05
Jul 2026,MOZ,34958973,Nampula,Memba,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Inhambane,Govuro,current,2026-07-01,2026-09-30,all,38561,1.0
Jul 2026,MOZ,34958973,Inhambane,Govuro,current,2026-07-01,2026-09-30,3+,5784,0.15
Jul 2026,MOZ,34958973,Inhambane,Govuro,current,2026-07-01,2026-09-30,1,15424,0.4
