Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Jul 2026,MOZ,34958973,Tete,Mutarara,current,2026-07-01,2026-09-30,4,11102,0.05
Jul 2026,MOZ,34958973,Tete,Mutarara,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Tete,Mutarara,first projection,2026-10-01,2027-03-31,all,222038,1.0
Jul 2026,MOZ,34958973,Tete,Mutarara,first projection,2026-10-01,2027-03-31,3+,66612,0.3
Jul 2026,MOZ,34958973,Tete,Mutarara,first projection,2026-10-01,2027-03-31,1,77713,0.35
Jul 2026,MOZ,34958973,Tete,Mutarara,first projection,2026-10-01,2027-03-31,2,77713,0.35
Jul 2026,MOZ,34958973,Tete,Mutarara,first projection,2026-10-01,2027-03-31,3,55510,0.25
Jul 2026,MOZ,34958973,Tete,Mutarara,first projection,2026-10-01,2027-03-31,4,11102,0.05
Jul 2026,MOZ,34958973,Tete,Mutarara,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Gaza,Massingir,current,2026-07-01,2026-09-30,all,37844,1.0
Jul 2026,MOZ,34958973,Gaza,Massingir,current,2026-07-01,2026-09-30,3+,5677,0.15
Jul 2026,MOZ,34958973,Gaza,Massingir,current,2026-07-01,2026-09-30,1,17030,0.45
Jul 2026,MOZ,34958973,Gaza,Massingir,current,2026-07-01,2026-09-30,2,15138,0.4
Jul 2026,MOZ,34958973,Gaza,Massingir,current,2026-07-01,2026-09-30,3,5677,0.15
Jul 2026,MOZ,34958973,Gaza,Massingir,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Gaza,Massingir,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Gaza,Massingir,first projection,2026-10-01,2027-03-31,all,37844,1.0
Jul 2026,MOZ,34958973,Gaza,Massingir,first projection,2026-10-01,2027-03-31,3+,9461,0.25
Jul 2026,MOZ,34958973,Gaza,Massingir,first projection,2026-10-01,2027-03-31,1,11353,0.3
Jul 2026,MOZ,34958973,Gaza,Massingir,first projection,2026-10-01,2027-03-31,2,17030,0.45
Jul 2026,MOZ,34958973,Gaza,Massingir,first projection,2026-10-01,2027-03-31,3,7569,0.2
Jul 2026,MOZ,34958973,Gaza,Massingir,first projection,2026-10-01,2027-03-31,4,1892,0.05
Jul 2026,MOZ,34958973,Gaza,Massingir,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Gaza,Chibuto,current,2026-07-01,2026-09-30,all,238148,1.0
Jul 2026,MOZ,34958973,Gaza,Chibuto,current,2026-07-01,2026-09-30,3+,47629,0.2
Jul 2026,MOZ,34958973,Gaza,Chibuto,current,2026-07-01,2026-09-30,1,119074,0.5
Jul 2026,MOZ,34958973,Gaza,Chibuto,current,2026-07-01,2026-09-30,2,71444,0.3
Jul 2026,MOZ,34958973,Gaza,Chibuto,current,2026-07-01,2026-09-30,3,35722,0.15
Jul 2026,MOZ,34958973,Gaza,Chibuto,current,2026-07-01,2026-09-30,4,11907,0.05
Jul 2026,MOZ,34958973,Gaza,Chibuto,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Gaza,Chibuto,first projection,2026-10-01,2027-03-31,all,238148,1.0
Jul 2026,MOZ,34958973,Gaza,Chibuto,first projection,2026-10-01,2027-03-31,3+,59537,0.25
Jul 2026,MOZ,34958973,Gaza,Chibuto,first projection,2026-10-01,2027-03-31,1,107167,0.45
Jul 2026,MOZ,34958973,Gaza,Chibuto,first projection,2026-10-01,2027-03-31,2,71444,0.3
Jul 2026,MOZ,34958973,Gaza,Chibuto,first projection,2026-10-01,2027-03-31,3,47630,0.2
Jul 2026,MOZ,34958973,Gaza,Chibuto,first projection,2026-10-01,2027-03-31,4,11907,0.05
Jul 2026,MOZ,34958973,Gaza,Chibuto,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Gaza,Chokwe,current,2026-07-01,2026-09-30,all,246617,1.0
Jul 2026,MOZ,34958973,Gaza,Chokwe,current,2026-07-01,2026-09-30,3+,36993,0.15
Jul 2026,MOZ,34958973,Gaza,Chokwe,current,2026-07-01,2026-09-30,1,147970,0.6
Jul 2026,MOZ,34958973,Gaza,Chokwe,current,2026-07-01,2026-09-30,2,61654,0.25
Jul 2026,MOZ,34958973,Gaza,Chokwe,current,2026-07-01,2026-09-30,3,36993,0.15
Jul 2026,MOZ,34958973,Gaza,Chokwe,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Gaza,Chokwe,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Gaza,Chokwe,first projection,2026-10-01,2027-03-31,all,246617,1.0
Jul 2026,MOZ,34958973,Gaza,Chokwe,first projection,2026-10-01,2027-03-31,3+,61654,0.25
Jul 2026,MOZ,34958973,Gaza,Chokwe,first projection,2026-10-01,2027-03-31,1,110978,0.45
Jul 2026,MOZ,34958973,Gaza,Chokwe,first projection,2026-10-01,2027-03-31,2,73985,0.3
Jul 2026,MOZ,34958973,Gaza,Chokwe,first projection,2026-10-01,2027-03-31,3,49323,0.2
Jul 2026,MOZ,34958973,Gaza,Chokwe,first projection,2026-10-01,2027-03-31,4,12331,0.05
Jul 2026,MOZ,34958973,Gaza,Chokwe,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Gaza,Chongoene,current,2026-07-01,2026-09-30,all,122383,1.0
Jul 2026,MOZ,34958973,Gaza,Chongoene,current,2026-07-01,2026-09-30,3+,12238,0.1
Jul 2026,MOZ,34958973,Gaza,Chongoene,current,2026-07-01,2026-09-30,1,61192,0.5
Jul 2026,MOZ,34958973,Gaza,Chongoene,current,2026-07-01,2026-09-30,2,48953,0.4
Jul 2026,MOZ,34958973,Gaza,Chongoene,current,2026-07-01,2026-09-30,3,12238,0.1
Jul 2026,MOZ,34958973,Gaza,Chongoene,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Gaza,Chongoene,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Gaza,Chongoene,first projection,2026-10-01,2027-03-31,all,122383,1.0
Jul 2026,MOZ,34958973,Gaza,Chongoene,first projection,2026-10-01,2027-03-31,3+,30596,0.25
Jul 2026,MOZ,34958973,Gaza,Chongoene,first projection,2026-10-01,2027-03-31,1,48953,0.4
Jul 2026,MOZ,34958973,Gaza,Chongoene,first projection,2026-10-01,2027-03-31,2,42834,0.35
Jul 2026,MOZ,34958973,Gaza,Chongoene,first projection,2026-10-01,2027-03-31,3,24477,0.2
Jul 2026,MOZ,34958973,Gaza,Chongoene,first projection,2026-10-01,2027-03-31,4,6119,0.05
Jul 2026,MOZ,34958973,Gaza,Chongoene,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Gaza,Guija,current,2026-07-01,2026-09-30,all,94271,1.0
Jul 2026,MOZ,34958973,Gaza,Guija,current,2026-07-01,2026-09-30,3+,14141,0.15
Jul 2026,MOZ,34958973,Gaza,Guija,current,2026-07-01,2026-09-30,1,42422,0.45
Jul 2026,MOZ,34958973,Gaza,Guija,current,2026-07-01,2026-09-30,2,37708,0.4
Jul 2026,MOZ,34958973,Gaza,Guija,current,2026-07-01,2026-09-30,3,14141,0.15
Jul 2026,MOZ,34958973,Gaza,Guija,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Gaza,Guija,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Gaza,Guija,first projection,2026-10-01,2027-03-31,all,94271,1.0
Jul 2026,MOZ,34958973,Gaza,Guija,first projection,2026-10-01,2027-03-31,3+,23568,0.25
Jul 2026,MOZ,34958973,Gaza,Guija,first projection,2026-10-01,2027-03-31,1,32995,0.35
Jul 2026,MOZ,34958973,Gaza,Guija,first projection,2026-10-01,2027-03-31,2,37708,0.4
Jul 2026,MOZ,34958973,Gaza,Guija,first projection,2026-10-01,2027-03-31,3,18854,0.2
Jul 2026,MOZ,34958973,Gaza,Guija,first projection,2026-10-01,2027-03-31,4,4714,0.05
Jul 2026,MOZ,34958973,Gaza,Guija,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Gaza,Limpopo,current,2026-07-01,2026-09-30,all,154790,1.0
Jul 2026,MOZ,34958973,Gaza,Limpopo,current,2026-07-01,2026-09-30,3+,15479,0.1
Jul 2026,MOZ,34958973,Gaza,Limpopo,current,2026-07-01,2026-09-30,1,92874,0.6
Jul 2026,MOZ,34958973,Gaza,Limpopo,current,2026-07-01,2026-09-30,2,46437,0.3
Jul 2026,MOZ,34958973,Gaza,Limpopo,current,2026-07-01,2026-09-30,3,15479,0.1
Jul 2026,MOZ,34958973,Gaza,Limpopo,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Gaza,Limpopo,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Gaza,Limpopo,first projection,2026-10-01,2027-03-31,all,154790,1.0
Jul 2026,MOZ,34958973,Gaza,Limpopo,first projection,2026-10-01,2027-03-31,3+,30959,0.2
Jul 2026,MOZ,34958973,Gaza,Limpopo,first projection,2026-10-01,2027-03-31,1,77395,0.5
Jul 2026,MOZ,34958973,Gaza,Limpopo,first projection,2026-10-01,2027-03-31,2,46437,0.3
Jul 2026,MOZ,34958973,Gaza,Limpopo,first projection,2026-10-01,2027-03-31,3,23219,0.15
Jul 2026,MOZ,34958973,Gaza,Limpopo,first projection,2026-10-01,2027-03-31,4,7740,0.05
Jul 2026,MOZ,34958973,Gaza,Limpopo,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Gaza,Mabalane,current,2026-07-01,2026-09-30,all,39791,1.0
Jul 2026,MOZ,34958973,Gaza,Mabalane,current,2026-07-01,2026-09-30,3+,5969,0.15
Jul 2026,MOZ,34958973,Gaza,Mabalane,current,2026-07-01,2026-09-30,1,17906,0.45
Jul 2026,MOZ,34958973,Gaza,Mabalane,current,2026-07-01,2026-09-30,2,15916,0.4
Jul 2026,MOZ,34958973,Gaza,Mabalane,current,2026-07-01,2026-09-30,3,3979,0.1
Jul 2026,MOZ,34958973,Gaza,Mabalane,current,2026-07-01,2026-09-30,4,1990,0.05
Jul 2026,MOZ,34958973,Gaza,Mabalane,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Gaza,Mabalane,first projection,2026-10-01,2027-03-31,all,39791,1.0
Jul 2026,MOZ,34958973,Gaza,Mabalane,first projection,2026-10-01,2027-03-31,3+,11937,0.3
Jul 2026,MOZ,34958973,Gaza,Mabalane,first projection,2026-10-01,2027-03-31,1,13927,0.35
Jul 2026,MOZ,34958973,Gaza,Mabalane,first projection,2026-10-01,2027-03-31,2,13927,0.35
Jul 2026,MOZ,34958973,Gaza,Mabalane,first projection,2026-10-01,2027-03-31,3,7958,0.2
Jul 2026,MOZ,34958973,Gaza,Mabalane,first projection,2026-10-01,2027-03-31,4,3979,0.1
Jul 2026,MOZ,34958973,Gaza,Mabalane,first projection,2026-10-01,2027-03-31,5,0,0
