shapeName,shapeID,under18_sum,valid_cell_count,worldpop_valid_cells,has_ipc_current_data,province,ipc_area,analysis_date,current_from,current_to,population_analyzed_current,phase3plus_number_current,phase3plus_fraction_current,phase3plus_percent_current,under18_phase3plus_exposure_proxy
Lago,85939544B52795804394919,62009.33984375,46277,True,False,,,,,,,,,,
Lago Niassa,85939544B11916103118899,1746.8076171875,1167,True,False,,,,,,,,,,
Lalaua,85939544B71599092008043,67173.625,91471,True,False,,,,,,,,,,
Larde,85939544B26264863650897,59811.671875,32129,True,False,,,,,,,,,,
Limpopo,85939544B55875453752427,101645.859375,53981,True,True,Gaza,Limpopo,Jul 2026,2026-07-01,2026-09-30,154790.0,15479.0,0.1,10.0,10164.5859375
Liúpo,85939544B62807674730552,53789.65234375,39049,True,False,,,,,,,,,,
Luabo,85939544B83504353793512,35554.48828125,22564,True,False,,,,,,,,,,
Lugela,85939544B172449318268,111432.9765625,202456,True,False,,,,,,,,,,
Mabalane,85939544B83676990250137,22990.578125,24708,True,True,Gaza,Mabalane,Jul 2026,2026-07-01,2026-09-30,39791.0,5969.0,0.15,15.0,3448.58671875
Mabote,85939544B65323255513357,28604.515625,63911,True,False,,,,,,,,,,
Macanga,85939544B71238690131788,95454.1875,216285,True,False,,,,,,,,,,
Macate,85939544B829507062217,51265.92578125,110102,True,False,,,,,,,,,,
Machanga,85939544B66501899539367,32388.732421875,36103,True,True,Sofala,Machanga,Jul 2026,2026-07-01,2026-09-30,71588.0,17897.0,0.25,25.0,8097.18310546875
Machaze,85939544B88211826741163,77079.5,284259,True,False,,,,,,,,,,
Macomia,85939544B2345621089228,63236.61328125,18770,True,True,Cabo Delgado,Macomia,Jul 2026,2026-07-01,2026-09-30,150592.0,60237.0,0.4,40.0,25294.6453125
Macossa,85939544B71036498933536,30139.115234375,43409,True,False,,,,,,,,,,
Maganja Da Costa,85939544B26352047498043,88627.625,89380,True,True,Zambezia,Maganja Da Costa,Jul 2026,2026-07-01,2026-09-30,187476.0,18748.0,0.1,10.0,8862.7625
Magoe,85939544B26060528055494,50858.578125,51185,True,False,,,,,,,,,,
