shapeName,shapeISO,shapeID,shapeGroup,shapeType,under18_sum,valid_cell_count,worldpop_valid_cells
Manhiça,,85939544B91620585279817,MOZ,ADM2,107888.546875,81695,True
Manica,,85939544B32725727804377,MOZ,ADM2,126637.8984375,124780,True
Mapai,,85939544B45935423796795,MOZ,ADM2,19270.74609375,36131,True
Maquival,,85939544B65123265698186,MOZ,ADM2,26556.638671875,28001,True
Marara,,85939544B55684561557182,MOZ,ADM2,44541.984375,66213,True
Maravia,,85939544B82621359487865,MOZ,ADM2,78038.890625,77466,True
Maringue,,85939544B35485552295049,MOZ,ADM2,61360.640625,98850,True
Marracuene,,85939544B2591372162698,MOZ,ADM2,109422.546875,39417,True
Marromeu,,85939544B84282844658581,MOZ,ADM2,93968.2109375,59122,True
Marrupa,,85939544B26738067837562,MOZ,ADM2,47270.6796875,79909,True
Massangena,,85939544B81330952052148,MOZ,ADM2,11658.72265625,25467,True
Massinga,,85939544B96403406066950,MOZ,ADM2,125423.765625,307946,True
Massingir,,85939544B66771942168992,MOZ,ADM2,21659.197265625,12778,True
Matutuine,,85939544B97303459234614,MOZ,ADM2,20829.626953125,59045,True
Maua,,85939544B33000714085001,MOZ,ADM2,41819.02734375,63328,True
Mavago,,85939544B69199020344442,MOZ,ADM2,19195.85546875,19643,True
Maxixe,,85939544B37735984540105,MOZ,ADM2,65371.5859375,27189,True
Mecanhelas,,85939544B26392807278532,MOZ,ADM2,173262.15625,164419,True
Meconta,,85939544B84793619782311,MOZ,ADM2,132665.453125,139022,True
Mecuburi,,85939544B36345946298130,MOZ,ADM2,126988.3125,154774,True
Mecufi,,85939544B73793826279493,MOZ,ADM2,36566.421875,16448,True
Mecula,,85939544B86519405521682,MOZ,ADM2,12019.1201171875,14341,True
Meluco,,85939544B29216683074298,MOZ,ADM2,21276.921875,14629,True
Memba,,85939544B76219123027909,MOZ,ADM2,198206.15625,123095,True
Metarica,,85939544B27352268742856,MOZ,ADM2,28236.9453125,43807,True
Metuge,,85939544B43724113746926,MOZ,ADM2,49729.4296875,10570,True
Milange,,85939544B24654814708458,MOZ,ADM2,363712.4375,351980,True
Moamba,,85939544B51879158696861,MOZ,ADM2,42826.38671875,93002,True
Moatize,,85939544B94790467869630,MOZ,ADM2,153534.53125,127283,True
Mocimboa Da Praia,,85939544B54758933622764,MOZ,ADM2,68172.4609375,18038,True
Mocuba,,85939544B358257057392,MOZ,ADM2,242756.859375,320779,True
Mocubela,,85939544B38416709222197,MOZ,ADM2,72527.9296875,81860,True
Mogincual,,85939544B68532442394498,MOZ,ADM2,59268.5703125,40535,True
Mogovolas,,85939544B32350532447413,MOZ,ADM2,217384.984375,268740,True
Molumbo,,85939544B56224707964526,MOZ,ADM2,201067.8125,283699,True
Moma,,85939544B26201267157646,MOZ,ADM2,193986.375,148814,True
Monapo,,85939544B30642509050116,MOZ,ADM2,234931.09375,157711,True
Montepuez,,85939544B74766547400417,MOZ,ADM2,151064.21875,70336,True
Mopeia,,85939544B50332228011696,MOZ,ADM2,96022.78125,100373,True
Morrumbala,,85939544B61462515035200,MOZ,ADM2,231907.734375,250850,True
Morrumbene,,85939544B85400452133709,MOZ,ADM2,73701.3828125,135280,True
Mossuril,,85939544B64339198961844,MOZ,ADM2,99387.0234375,61906,True
Mossurize,,85939544B24800488676804,MOZ,ADM2,117788.3828125,282825,True
Muanza,,85939544B50673994435668,MOZ,ADM2,24154.9453125,51922,True
Muecate,,85939544B7087427782291,MOZ,ADM2,83182.0625,120158,True
Mueda,,85939544B28759712944697,MOZ,ADM2,92863.8984375,42831,True
Muembe,,85939544B2234925194697,MOZ,ADM2,27497.912109375,43134,True
Muidumbe,,85939544B92892346973749,MOZ,ADM2,53912.26171875,14241,True
Mulevala,,85939544B54372279750556,MOZ,ADM2,64024.9296875,149463,True
Murrupula,,85939544B53018455745149,MOZ,ADM2,113595.96875,158471,True
Mutarara,,85939544B58328889190937,MOZ,ADM2,103311.125,50961,True
Nacala,,85939544B80255250880532,MOZ,ADM2,161432.703125,14953,True
Nacala-A-Velha,,85939544B78261911608408,MOZ,ADM2,70716.546875,47474,True
Nacaroa,,85939544B80156310814638,MOZ,ADM2,87272.6875,124864,True
Namaacha,,85939544B88728478280907,MOZ,ADM2,23028.21484375,38704,True
Namacurra,,85939544B74893021327700,MOZ,ADM2,125107.828125,87270,True
Namarroi,,85939544B64189871111735,MOZ,ADM2,86812.6953125,179378,True
Namuno,,85939544B68242516881190,MOZ,ADM2,143950.03125,68363,True
Nangade,,85939544B17838134976629,MOZ,ADM2,49110.484375,24822,True
Ngauma,,85939544B1529593178446,MOZ,ADM2,59205.81640625,92850,True
Nhamatanda,,85939544B48412147332355,MOZ,ADM2,163723.796875,180164,True
Nicoadala,,85939544B24973508625893,MOZ,ADM2,83538.75,80750,True
Nipepe,,85939544B55402666252817,MOZ,ADM2,28360.625,29397,True
Palma,,85939544B28801965730987,MOZ,ADM2,34475.47265625,18539,True
Panda,,85939544B74614871029564,MOZ,ADM2,24259.01953125,90495,True
Pebane,,85939544B33364168787730,MOZ,ADM2,125182.421875,149482,True
Quissanga,,85939544B35031207172791,MOZ,ADM2,28075.44140625,7967,True
Rapale,,85939544B86182788788384,MOZ,ADM2,99318.9375,199976,True
Ribaue,,85939544B68369930448432,MOZ,ADM2,160141.1875,226610,True
Sanga,,85939544B99370318353636,MOZ,ADM2,46787.50390625,89184,True
Sussundenga,,85939544B81104327117882,MOZ,ADM2,102630.2578125,230095,True
Tambara,,85939544B86118750013731,MOZ,ADM2,34772.35546875,27330,True
Tsangano,,85939544B8789366603018,MOZ,ADM2,124583.578125,139526,True
Vanduzi,,85939544B72355494669336,MOZ,ADM2,94267.375,131296,True
Vilankulo,,85939544B70195584825603,MOZ,ADM2,79806.4453125,164253,True
Zavala,,85939544B42929876675904,MOZ,ADM2,84663.828125,151998,True
Zumbu,,85939544B34189520387166,MOZ,ADM2,53062.8359375,36025,True
